Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,150,5,8.964760481764616
KatsuuraEvaluation,cross_interval,tune,150,6,8.973927562246667
KatsuuraEvaluation,cross_interval,tune,150,7,9.585449171226896
KatsuuraEvaluation,cross_interval,tune,150,8,9.474585325258047
KatsuuraEvaluation,cross_interval,tune,150,9,8.481573654267619
KatsuuraEvaluation,cross_interval,tune,150,10,9.192120886251868
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,160,1,9.135280506431126
KatsuuraEvaluation,cross_interval,tune,160,2,9.086920562750228
KatsuuraEvaluation,cross_interval,tune,160,3,8.753049265443703
KatsuuraEvaluation,cross_interval,tune,160,4,9.371425943310737
KatsuuraEvaluation,cross_interval,tune,160,5,9.017281381801958
KatsuuraEvaluation,cross_interval,tune,160,6,9.056865420271128
KatsuuraEvaluation,cross_interval,tune,160,7,8.90830682584274
KatsuuraEvaluation,cross_interval,tune,160,8,9.463628802475938
KatsuuraEvaluation,cross_interval,tune,160,9,9.000522426956902
KatsuuraEvaluation,cross_interval,tune,160,10,8.971654916065535
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,170,1,9.01404378987727
KatsuuraEvaluation,cross_interval,tune,170,2,8.931626437493337
KatsuuraEvaluation,cross_interval,tune,170,3,9.083229867609683
KatsuuraEvaluation,cross_interval,tune,170,4,9.391017846663397
KatsuuraEvaluation,cross_interval,tune,170,5,9.022802377806016
KatsuuraEvaluation,cross_interval,tune,170,6,8.672088264070142
KatsuuraEvaluation,cross_interval,tune,170,7,9.043844008411453
KatsuuraEvaluation,cross_interval,tune,170,8,9.444681862522218
KatsuuraEvaluation,cross_interval,tune,170,9,9.029015487583186
KatsuuraEvaluation,cross_interval,tune,170,10,9.059252540366625
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,180,1,9.443253811257208
KatsuuraEvaluation,cross_interval,tune,180,2,9.3941385286104
KatsuuraEvaluation,cross_interval,tune,180,3,9.08317261502331
KatsuuraEvaluation,cross_interval,tune,180,4,9.38853260445814
KatsuuraEvaluation,cross_interval,tune,180,5,9.123483453102143
KatsuuraEvaluation,cross_interval,tune,180,6,8.962163429741842
KatsuuraEvaluation,cross_interval,tune,180,7,8.917218501587657
KatsuuraEvaluation,cross_interval,tune,180,8,9.443954311942932
KatsuuraEvaluation,cross_interval,tune,180,9,9.213445362569622
KatsuuraEvaluation,cross_interval,tune,180,10,9.014526416567236
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,190,1,7.650067078708217
KatsuuraEvaluation,cross_interval,tune,190,2,8.80316459248813
KatsuuraEvaluation,cross_interval,tune,190,3,8.895064493314178
KatsuuraEvaluation,cross_interval,tune,190,4,9.386401572438048
KatsuuraEvaluation,cross_interval,tune,190,5,8.957073413024807
KatsuuraEvaluation,cross_interval,tune,190,6,9.693096273174184
KatsuuraEvaluation,cross_interval,tune,190,7,9.080319372585574
KatsuuraEvaluation,cross_interval,tune,190,8,9.702054430831895
KatsuuraEvaluation,cross_interval,tune,190,9,8.958305929818005
KatsuuraEvaluation,cross_interval,tune,190,10,9.208229902536152
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,200,1,8.148921733249553
KatsuuraEvaluation,cross_interval,tune,200,2,8.401025431892334
KatsuuraEvaluation,cross_interval,tune,200,3,8.840335465033885
KatsuuraEvaluation,cross_interval,tune,200,4,9.38938673936989
KatsuuraEvaluation,cross_interval,tune,200,5,8.727935030194047
KatsuuraEvaluation,cross_interval,tune,200,6,9.794809584441635
KatsuuraEvaluation,cross_interval,tune,200,7,8.950327382881323
KatsuuraEvaluation,cross_interval,tune,200,8,9.440264279151444
KatsuuraEvaluation,cross_interval,tune,200,9,9.79271133925688
KatsuuraEvaluation,cross_interval,tune,200,10,9.394353314975755
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,210,1,7.449070523134714
KatsuuraEvaluation,cross_interval,tune,210,2,8.86300567756995
KatsuuraEvaluation,cross_interval,tune,210,3,8.283262291681808
KatsuuraEvaluation,cross_interval,tune,210,4,9.389222392341347
KatsuuraEvaluation,cross_interval,tune,210,5,8.30847932132392
KatsuuraEvaluation,cross_interval,tune,210,6,8.872834845679714
KatsuuraEvaluation,cross_interval,tune,210,7,9.995187736279833
KatsuuraEvaluation,cross_interval,tune,210,8,9.437792477331675
KatsuuraEvaluation,cross_interval,tune,210,9,8.468675572262631
KatsuuraEvaluation,cross_interval,tune,210,10,9.025770505422155
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,220,1,8.402698967573718
KatsuuraEvaluation,cross_interval,tune,220,2,8.883079225438678
KatsuuraEvaluation,cross_interval,tune,220,3,8.909621871277297
