Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
KatsuuraEvaluation,cross_interval,tune,1730,10,8.754721912757503
KatsuuraEvaluation,cross_interval,tune,1740,10,8.720031925680631
KatsuuraEvaluation,cross_interval,tune,1750,10,8.986599903399057
KatsuuraEvaluation,cross_interval,tune,1760,10,8.873153027277457
KatsuuraEvaluation,cross_interval,tune,1770,10,8.78417352576431
KatsuuraEvaluation,cross_interval,tune,1780,10,9.070781943926816
KatsuuraEvaluation,cross_interval,tune,1790,10,8.662673692779647
KatsuuraEvaluation,cross_interval,tune,1800,10,8.606695096100808
KatsuuraEvaluation,cross_interval,tune,1810,10,8.780278759622238
KatsuuraEvaluation,cross_interval,tune,1820,10,8.582332330500499
KatsuuraEvaluation,cross_interval,tune,1830,10,8.874030996542078
KatsuuraEvaluation,cross_interval,tune,1840,10,8.812470792564094
KatsuuraEvaluation,cross_interval,tune,1850,10,8.839433165715167
KatsuuraEvaluation,cross_interval,tune,1860,10,8.918131099271744
KatsuuraEvaluation,cross_interval,tune,1870,10,8.839634035660442
KatsuuraEvaluation,cross_interval,tune,1880,10,8.882312686766014
KatsuuraEvaluation,cross_interval,tune,1890,10,8.718424552003622
KatsuuraEvaluation,cross_interval,tune,1900,10,8.839438577973874
KatsuuraEvaluation,cross_interval,tune,1910,10,8.92881443091576
KatsuuraEvaluation,cross_interval,tune,1920,10,8.81591387413572
KatsuuraEvaluation,cross_interval,tune,1930,10,9.083526783100286
KatsuuraEvaluation,cross_interval,tune,1940,10,8.842772229521524
KatsuuraEvaluation,cross_interval,tune,1950,10,8.855644615267519
KatsuuraEvaluation,cross_interval,tune,1960,10,9.011245517829712
KatsuuraEvaluation,cross_interval,tune,1970,10,8.796686029520632
KatsuuraEvaluation,cross_interval,tune,1980,10,8.93912224370633
KatsuuraEvaluation,cross_interval,tune,1990,10,8.76612283579388
KatsuuraEvaluation,cross_interval,tune,2000,10,8.668161361248721
KatsuuraEvaluation,cross_interval,tune,2010,10,8.764839095913851
KatsuuraEvaluation,cross_interval,tune,2020,10,9.013238572743978
KatsuuraEvaluation,cross_interval,tune,2030,10,8.857909952381748
KatsuuraEvaluation,cross_interval,tune,2040,10,8.868138010956736
KatsuuraEvaluation,cross_interval,tune,2050,10,8.920840125672678
KatsuuraEvaluation,cross_interval,tune,2060,10,8.834846530721084
KatsuuraEvaluation,cross_interval,tune,2070,10,8.720038095087553
KatsuuraEvaluation,cross_interval,tune,2080,10,8.783869578325888
KatsuuraEvaluation,cross_interval,tune,2090,10,8.882438591345503
KatsuuraEvaluation,cross_interval,tune,2100,10,8.751775399230217
KatsuuraEvaluation,cross_interval,tune,2110,10,8.912982014704726
KatsuuraEvaluation,cross_interval,tune,2120,10,8.677601416505597
KatsuuraEvaluation,cross_interval,tune,2130,10,8.850708491713277
KatsuuraEvaluation,cross_interval,tune,2140,10,8.818130788771885
KatsuuraEvaluation,cross_interval,tune,2150,10,8.979530380272841
KatsuuraEvaluation,cross_interval,tune,2160,10,8.82042653559928
KatsuuraEvaluation,cross_interval,tune,2170,10,8.90851852059485
KatsuuraEvaluation,cross_interval,tune,2180,10,8.924354170889817
KatsuuraEvaluation,cross_interval,tune,2190,10,8.711435202878345
KatsuuraEvaluation,cross_interval,tune,2200,10,8.898037710307458
KatsuuraEvaluation,cross_interval,tune,2210,10,9.061684248146488
KatsuuraEvaluation,cross_interval,tune,2220,10,8.81481577047226
KatsuuraEvaluation,cross_interval,tune,2230,10,8.652602016894473
KatsuuraEvaluation,cross_interval,tune,2240,10,8.792922362902065
KatsuuraEvaluation,cross_interval,tune,2250,10,8.835494095691043
KatsuuraEvaluation,cross_interval,tune,2260,10,8.818373557435383
KatsuuraEvaluation,cross_interval,tune,2270,10,8.821479982537308
KatsuuraEvaluation,cross_interval,tune,2280,10,8.91417603751914
KatsuuraEvaluation,cross_interval,tune,2290,10,8.992079483180701
KatsuuraEvaluation,cross_interval,tune,2300,10,8.946848226069388
KatsuuraEvaluation,cross_interval,tune,2310,10,8.872967775177987
KatsuuraEvaluation,cross_interval,tune,2320,10,9.021775825232293
KatsuuraEvaluation,cross_interval,tune,2330,10,8.736537973640768
KatsuuraEvaluation,cross_interval,tune,2340,10,8.945103669972783
KatsuuraEvaluation,cross_interval,tune,2350,10,8.801389839336023
KatsuuraEvaluation,cross_interval,tune,2360,10,8.925177980736095
KatsuuraEvaluation,cross_interval,tune,2370,10,8.724263043055867
KatsuuraEvaluation,cross_interval,tune,2380,10,8.933108823039985
KatsuuraEvaluation,cross_interval,tune,2390,10,8.844616331471435
KatsuuraEvaluation,cross_interval,tune,2400,10,8.722069003797065
KatsuuraEvaluation,cross_interval,tune,2410,10,8.973919995371254
KatsuuraEvaluation,cross_interval,tune,2420,10,8.81479792078332
KatsuuraEvaluation,cross_interval,tune,2430,10,8.92812802361852
KatsuuraEvaluation,cross_interval,tune,2440,10,8.875412364216949
KatsuuraEvaluation,cross_interval,tune,2450,10,8.865985422431883
KatsuuraEvaluation,cross_interval,tune,2460,10,8.968494687284297
KatsuuraEvaluation,cross_interval,tune,2470,10,8.957994094085272
KatsuuraEvaluation,cross_interval,tune,2480,10,8.90200447313075
KatsuuraEvaluation,cross_interval,tune,2490,10,8.81673520665552
KatsuuraEvaluation,cross_interval,tune,2500,10,8.81636418380875
KatsuuraEvaluation,cross_interval,tune,2510,10,8.984757109426969
KatsuuraEvaluation,cross_interval,tune,2520,10,8.898986918284566
KatsuuraEvaluation,cross_interval,tune,2530,10,9.009786433028657
KatsuuraEvaluation,cross_interval,tune,2540,10,8.807168750849302
KatsuuraEvaluation,cross_interval,tune,2550,10,9.056114732254875
KatsuuraEvaluation,cross_interval,tune,2560,10,8.797598717204135
KatsuuraEvaluation,cross_interval,tune,2570,10,8.78030447991846
KatsuuraEvaluation,cross_interval,tune,2580,10,9.040415125100461
KatsuuraEvaluation,cross_interval,tune,2590,10,8.845557949490145
KatsuuraEvaluation,cross_interval,tune,2600,10,8.908368664426952
KatsuuraEvaluation,cross_interval,tune,2610,10,8.834995646529777
KatsuuraEvaluation,cross_interval,tune,2620,10,8.850194644637225
KatsuuraEvaluation,cross_interval,tune,2630,10,8.990645934115346
KatsuuraEvaluation,cross_interval,tune,2640,10,8.828379730677845
KatsuuraEvaluation,cross_interval,tune,2650,10,8.934814617584518
KatsuuraEvaluation,cross_interval,tune,2660,10,8.800022317518437
KatsuuraEvaluation,cross_interval,tune,2670,10,8.943272306001024
KatsuuraEvaluation,cross_interval,tune,2680,10,8.772460910267089
KatsuuraEvaluation,cross_interval,tune,2690,10,8.87555649513671
KatsuuraEvaluation,cross_interval,tune,2700,10,8.771129243662164
KatsuuraEvaluation,cross_interval,tune,2710,10,8.863635958938296
KatsuuraEvaluation,cross_interval,tune,2720,10,8.83853403277933
KatsuuraEvaluation,cross_interval,tune,2730,10,8.835614680501198
KatsuuraEvaluation,cross_interval,tune,2740,10,8.834020988849618
KatsuuraEvaluation,cross_interval,tune,2750,10,8.854928373496438
